품목명,Tier,가중치,모델,MAPE%,품목코드,대분류
방향제,A,0.3,비계절ETS,1.0802164276133703,E061090,05 가정용품및가사서비스
습기제거제,A,0.1,비계절ETS,1.7106060521867643,E061100,05 가정용품및가사서비스
가사도우미료,A,2.4,비계절ETS,0.1645819183703038,E062010,05 가정용품및가사서비스
간병도우미료,A,2.6,비계절ETS,0.3460038356461857,E062020,05 가정용품및가사서비스
감기약,A,0.4,비계절ETS,0.0692246027499408,F011010,06 보건
진통제,A,0.4,비계절ETS,0.0932854400912999,F011020,06 보건
소화제,A,0.3,비계절ETS,0.072208193502979,F011030,06 보건
위장약,A,0.2,비계절ETS,0.1078173967335198,F011040,06 보건
진해거담제,A,0.2,비계절ETS,0.1749858535793142,F011050,06 보건
소염진통제,A,0.6,비계절ETS,0.0505001146252082,F011060,06 보건
피부질환제,A,0.3,비계절ETS,0.1206487863296538,F011070,06 보건
치과구강용약,A,0.3,비계절ETS,0.0471792312849143,F011080,06 보건
조제약,A,5.8,비계절ETS,0.0877817118289299,F011090,06 보건
한방약,A,2.7,비계절ETS,0.1353764279559408,F011100,06 보건
인삼,A,0.3,비계절ETS,0.8451932842336075,F011110,06 보건
홍삼,A,1.1,비계절ETS,3.561486479807824,F011120,06 보건
비타민제,A,1.2,비계절ETS,0.091543167609481,F011130,06 보건
건강기능식품,A,6.5,비계절ETS,0.3815661785597133,F011140,06 보건
유산균,A,1.2,비계절ETS,0.6229237247291294,F011150,06 보건
병원약품,A,3.5,비계절ETS,0.0888082856728674,F011160,06 보건
종이기저귀,A,1.4,비계절ETS,0.5288205425909553,F012010,06 보건
생리대,A,1.0,비계절ETS,3.153237519390505,F012020,06 보건
마스크,A,1.6,비계절ETS,0.1595319599613442,F012030,06 보건
반창고,A,0.1,비계절ETS,0.1219286376098262,F012040,06 보건
안경,A,1.0,비계절ETS,0.098330014309508,F012050,06 보건
콘택트렌즈,A,1.4,비계절ETS,0.5208642211036121,F012060,06 보건
